,Name,Taste,Type,Function,Effect
0,麻黄,辛、微苦、温,肺、膀胱,辛温峻品、利水、消肿,风寒表实证、胸闷、喘咳、风湿、痹痛、阴疽、痰核
1,桂枝,辛、甘、温,肺、心、膀胱,解表、散寒、止痛,风寒、感冒、诸痛症、痰饮、心悸
2,紫苏叶,辛、温,肺、脾,散寒、行气、和中、安胎,风寒、感冒、咳嗽、胸闷、妊娠、呕吐、胎动不安、腹痛
3,生姜,辛、微温,肺、胃、脾,散寒、温中、止呕、止咳,外感、风寒、呕吐、风寒、咳嗽、天南星及鱼蟹毒
4,香薷,辛、微温,肺、胃,解表、化湿、和中、利水,感冒、暑湿、发热、头痛、腹痛、吐泻、水肿、脚气、小便、不利
5,荆芥,辛、温,肺、肝,解表、透疹、止血,感冒、发热、头痛、麻疹不透、风疹、瘙痒、疮疡、初起、吐血、衄血、便血、崩漏
6,防风,辛、甘、温,膀胱、肝、脾,解表、祛风、止痛,风寒、头痛、风寒、湿痹、风疹、瘙痒、破伤风
7,羌活,辛、苦、温,膀胱、肾,祛风、散寒、除湿、止痛,风寒、感冒、寒热、头痛、风寒、湿痹、疼痛
8,白芷,辛、温,肺、脾、胃,祛风、除湿、止痛、消痈、排脓,风寒、感冒、头痛、牙痛、寒湿、带下、痈肿、疮疡、皮肤、瘙痒
9,藁本,辛、温,膀胱,祛风、散寒、除湿、止痛,外感、风寒、巅顶头痛偏头痛、风湿 肢节痹痛、寒湿、腹痛
10,苍耳子,辛、苦、温,肺,湿、止痛、止痒,风寒、头痛、湿痹、拘挛
11,辛夷,辛、温,肺、胃,散寒,头痛、感冒
12,薄荷,辛、凉,肺、肝,疏散、风热、利咽、透疹、疏肝、行气,外感、风热、头痛、咽喉、肿痛、口疮、牙痛、温病、初起、风疹、瘙痒、胸闷、胁痛
13,牛蒡子,辛、苦、寒,肺、胃,疏散、风热、利咽、透疹、解毒,风热、感冒、咳嗽、痰多、咽喉、肿痛、麻疹不透、风疹、痄腮、痈肿、疮毒
14,蝉蜕,甘、咸、凉,肺、肝,风热、利咽、透疹、明目,外感、风热、咳嗽、咽痛、麻疹不透、目赤、小儿、惊痫、破伤风
15,淡豆豉,苦、辛、微寒,肺、胃,解表、除烦,外感、发热、头痛
16,桑叶,苦、甘、寒,肝、肺,疏散、风热、清肺、润燥、平肝、明目,外感、风热、温病、初起、肺热、燥咳、头痛、头晕、目赤
17,菊花,辛、苦、甘、微寒,肺、肝,清热、平肝、明目、清热、解毒,风热、感冒、头痛、眩晕、目赤、肿痛、肿毒
18,蔓荆子,辛、苦、微寒,膀胱、肝、胃,疏散、风热,外感、风热、头痛、偏头痛、目赤、肿痛、湿痹、拘挛
19,葛根,甘、辛、平,脾、胃,透疹、生津、止泻,感冒、发热、头痛、麻疹透发不畅、烦渴、脾虚、久泻
20,柴胡,辛、苦、微寒,心包络、肝、三焦、胆,疏肝、解郁、截疟,感冒、发热、寒热、胸胁、胀痛、月经、不调、子宫脱垂、脱肛
21,升麻,辛、微甘、微寒,肺、脾、胃,透疹、清热、解毒,风热、头痛、麻疹透发不畅、发斑、肿痛、口舌生疮、咽喉、肿痛、久泻、久痢
22,浮萍,辛、寒,肺、膀胱,解表、透疹、止痒、利水、消肿,风热、发热、麻疹不透、风疹、瘙痒、证遍身、小便、不利
23,木贼,甘、苦、平,肺、肝、胆,疏散、风热、明目、止血,风热目赤肿痛、肠风、下血
24,水牛角,苦、咸、寒,心、肝,清热、凉血、解毒、定惊,温病、神昏、斑疹、吐血、衄血、小儿、惊风
25,生地黄,甘、苦、寒,心、肝、肾,清热、凉血、养阴、生津,热病邪入营血、烦渴、神昏、斑疹、血热出血、骨蒸、消渴、肠燥、便秘
26,玄参,苦、咸、寒,肺、肾,清热、凉血、解毒、软坚,入营、神昏、发斑、吐衄、骨蒸、劳热、便秘、痰核、瘰疬、痈疮、肿毒
27,牡丹皮,辛、苦、凉,心、肝、肾,清热、凉血、活血、散瘀,温病发斑吐衄、骨蒸、经闭、痛经、癥积、肿毒、跌仆、损伤
28,赤芍药,苦、微寒,肝、脾,清热、凉血、祛瘀、止痛,温病、发斑、吐血、衄血、血痢、经闭、痛经、癥瘕、腹痛、目赤、肿痛、化火胁痛、痈疮、肿毒、跌仆、损伤
29,紫草,甘、寒,心、肝,凉血、活血、解毒、透疹,血热、斑疹、吐衄、血痢、麻疹不透、湿热、黄疸、湿疹疮疡、烫伤
30,金银花,甘、寒,肺、胃、大肠,清热、解毒,外感风热温病发热、热毒、血痢、痈肿、疔疮、喉痹、多种感染性疾病
31,连翘,苦、微寒,肺、心、胆,清热、解毒、消痈、散结,丹毒、斑疹、肿毒、瘰疬、小便
32,蒲公英,苦、甘、寒,肝、胃,清热、解毒、消肿、散结、利尿、通淋,疔疮、肿毒、乳痈、瘰疬、目赤、咽痛、肺痈、肠痈、湿热、黄疸、热淋、涩痛
33,紫花地丁,苦、辛、寒,心、肝,清热、解毒、凉血、消肿,疔疮、肿毒、痈疽、丹毒、毒、黄疸、痢疾、目赤、肿痛
34,大青叶,苦、寒,心、肝、胃,清热、解毒、凉血、止血,温病热入营血、神昏、烦渴、吐衄、发斑、黄疸、丹毒、痄腮、喉痹、口疮
35,板蓝根,苦、寒,心、胃,清热、解毒、凉血、利咽,发热、咽痛、发斑、痄腮、丹毒、痈肿
36,青黛,咸、寒,肝、肺、胃,清热、解毒、凉血、消肿、定惊,发斑、血热、吐衄、痄腮、喉痹、咽喉、肿痛、肺热、咳血、小儿惊痫、肿毒
37,穿心莲,苦、寒,肺、胃、大肠、膀胱,清热、解毒、凉血、燥湿,风热、感冒、温病、初起、咽喉、肿痛、口舌生疮、肺痈、肺热、咳喘、湿热、泻痢、热淋涩痛等
38,牛黄,甘、凉,心、肝,清心、豁痰、开窍、息风、解毒,热病、神昏、中风、惊痫、抽搐、癫痫、咽喉、肿痛、口舌生疮、痈肿、疔疮
39,蚤休,苦、微寒,有小毒,清热、解毒、消肿、止痛、定惊,疔疮、痈肿、咽喉、肿痛、毒、跌仆、伤痛、惊风、抽搐
40,拳参,苦、微寒,肝、大肠,清热、解毒、凉血、止血、散结、消肿,湿热、泻痢、痈肿、瘰疬、吐衄、痔血、外伤、出血、毒
41,半边莲,辛、甘、微寒,心、肺、小肠,清热、解毒、利水、消肿,热毒、痈肿、毒、黄疸、水肿、湿热、泄泻、跌打
42,土茯苓,甘、淡、平,肝、胃,清热、除湿、解毒,湿热、淋浊、带下、痈肿、疥癣、及汞中毒所致的肢体拘挛、筋骨、疼痛
43,鱼腥草,辛、微寒,肺,清热、解毒、消痈、排脓、利水、通淋,肺痈、肺热、喘咳、泄泻、痢疾、湿热、水肿、淋证涩痛；火毒疮疡
44,射干,苦、寒,肺,清热、解毒、消痰、利咽,咽喉、肿痛、咳喘
45,山豆根,苦、寒,心、肺、大肠,清热、解毒、利咽、消肿,喉痹、咽痛、肺热、咳嗽、湿热、黄疸、痈疮、肿毒、癌肿
46,马勃,辛、平,肺,清肺、解毒、利咽、止血,风热、喉痹、咽痛、咳嗽、吐血衄血；出血
47,白头翁,苦、寒,胃、大肠,清热、解毒、凉血、燥湿,热毒、血痢、湿热、泄泻、阴痒、带下、痈肿、瘰疬、痔疮、出血、疟疾、寒热
48,鸦胆子,苦、寒,有小毒,清热、解毒、燥湿、杀虫、截疟,热毒、血痢、久泻、疟疾、寒热、阴痒、带下、赘疣
49,败酱草,辛、苦、微寒,胃、大肠、肝,清热、解毒、消痈、排脓、破血,肠痈、肺痈、痈肿、疮毒、黄疸、泄泻、痢疾、产后腹痛
50,白花蛇舌草,苦、甘、寒,肺、胃、大肠、小肠,清热、解毒、利湿、通淋,咽喉、肿痛、肺热、咳嗽、肠痈、痢疾、湿热、黄疸、热淋、水肿、小便不利；疮疖、毒
51,白蔹,苦、辛、微寒,心、胃,清热、解毒、散结、消肿、生肌、止痛,热毒、痈肿、疔疮、瘰疬、烫伤、肠风
52,漏芦,苦、寒,胃、大肠,清热、解毒、消肿、排脓、下乳、通经,热毒、疮疡、乳痈、肿痛、瘰疬、湿痹、筋脉、拘挛、疼痛、血痢、痔疮、出血
53,山慈菇,甘、微辛、寒,有小毒,清热、解毒、化痰、散结,痈疽、肿毒、恶疮、瘰疬、咽喉、肿痛、癥瘕、癌肿
54,四季青,苦、涩、寒,心、肺,清热、解毒、凉血、止血、敛疮、生肌,烫伤、外伤、出血、皮肤、溃疡、湿疹、咽喉、肿痛、泻痢、小便
55,金荞麦,酸、苦、微寒,肺、肝、脾,清热、解毒、排脓,肺痈、咳喘、咽喉、肿痛、痢疾、痈肿
56,绿豆,甘、凉,心、胃,清热、解毒、利水,烦渴、水肿、泻痢、丹毒、痈肿
57,半枝莲,辛、微苦、凉,肺、胃、肝,清热、解毒、散瘀、止血、利尿、消肿,疮疡、肿毒、肺痈、毒、跌打、伤痛、吐血、衄血、水肿、黄疸、瘰疬、癌肿
58,葎草,甘、苦、寒,肺、肾,清热、利尿、消瘀、解毒,肺热、咳嗽、小便涩痛、痢疾、湿疹、皮肤、瘙痒、痔疮、痈肿
59,千里光,甘、寒,肝、肺,清热、解毒、清肝、明目,流行性感冒、痈肿、黄疸、赤白、毒等
60,青蒿,苦、辛、寒,肝、胆、肾,清、热、截疟、退黄,阴虚、发热、骨蒸、劳热、发热、疟疾、寒热、湿热黄疸等病症的治疗
61,白薇,苦、咸、寒,胃、肝、肾,清热、凉血、利尿、通淋、解毒、疔疮,温病邪入营分、阴虚、发热、骨蒸、盗汗、产后、心烦、热淋、痈疮、肿毒
62,地骨皮,甘、寒,肺、肾,清、清肺、凉血,阴虚、内热、骨蒸、盗汗、小儿、肺热、喘咳、咯血、衄血
63,银柴胡,甘、微寒,肝、胃,退,阴虚、发热、骨蒸、劳热、小儿
64,胡黄连,苦、寒,肝、胃、大肠,退、清热、燥湿、解毒,劳热、骨蒸、小儿、湿热、泻痢、黄疸、疮疡
65,大黄,苦、寒,脾、胃、大肠、肝、心,通肠、凉血、解毒、通经,便秘、积滞、腹痛、泻痢、湿热、黄疸、血热、吐衄、目赤、肠痈、腹痛、痈肿、疔疮、瘀血、经闭、跌打、损伤、烫伤；上消化道出血
66,芒硝,咸、苦、寒,胃、大肠,通便、润燥、软坚、消肿,积滞、胀痛、大便、肠痈肿痛；乳痈、痔疮、肿痛
67,番泻叶,甘、苦、寒,大肠,通便、利水,便秘、习惯性便秘、亦可手术前清洁肠道、鼓胀
68,芦荟,苦、寒,肝、胃、大肠,清热、通便、除烦、杀虫,便秘、惊痫、抽搐、虫积
69,火麻仁,甘、平,脾、胃、大肠,润燥通便,血虚、津亏之肠燥便秘
70,郁李仁,辛、苦、甘、平,脾、大肠、小肠,润燥、利水、消肿,肠燥、便秘、腹胀、小便、不利、水肿、脚气
71,甘遂,苦、寒,有毒,泻水逐饮、消肿、散结,水肿、胀满、痰饮、喘咳、二便、不利、癫痫、痈肿、疮毒
72,京大戟,苦、辛、寒,有毒,泻水逐饮,水肿、鼓胀、痰饮、积聚、二便、不利、癫痫
73,红大戟,苦、寒,有小毒,泻水逐饮、消肿、散结,水肿、痰饮、喘咳、二便、不利、痈疮、瘰疬、痰核
74,芫花,辛、苦、温,有毒,泻水逐饮、解毒、杀虫,痰饮、喘咳、胁痛、水肿、疥癣
75,巴豆,辛、热,有大毒,逐水、杀虫,积滞、大便、水肿、鼓胀、痰饮、喘咳、喉痹、癫痫狂；恶疮、疥癣
76,牵牛子,苦、辛、寒,有毒,逐水、通便、祛痰、杀虫,水肿、鼓胀、痰饮、咳喘、二便、不利、虫积、腹痛
77,商陆,苦、寒,有毒,逐水、通便、消肿、散结,水肿、鼓胀、癥积、咳嗽痰喘；痈肿疮疡
78,千金子,辛、温,有毒,逐水、解毒、杀虫,水肿、鼓胀、二便、不利、癥积、血瘀、经闭、痈毒、毒、疥癣、赘疣
79,狼毒,苦、辛、平,有大毒,泻水逐饮、杀虫,水肿、腹胀、食、虫积、癥瘕、腹痛、咳喘、病、疥癣、赘疣
80,鸢尾,苦、辛、寒,有小毒,逐水、祛瘀、消积、解毒,风湿、痹痛、水肿、鼓胀、癥瘕、积聚、胀满、跌打、损伤、痈疮、肿毒
81,泽漆,辛、苦、微寒,有毒,利水、消肿、化痰、散结,痰饮、喘咳、疟疾；瘰疬、肿痛
82,腹水草,苦、寒,有小毒,逐水、散瘀、解毒,水肿、鼓胀、月经、不调、跌打、损伤、痈疮、肿毒、烫伤
83,威灵仙,辛、咸、温,膀胱,祛风、除湿、通络、止痛,筋脉、拘挛、不利、腰膝、冷痛
84,木防己,苦、辛、寒,膀胱、脾、肾,祛风、止痛,风湿、痹痛、水肿、脚气
85,秦艽,苦、辛、平,胃、肝、胆,祛风湿、络、清、利湿、退黄,风湿、痹痛、筋骨、拘挛、骨蒸、劳热、小儿、湿热、黄疸、小便、不利
86,豨莶草,苦、寒,肝、肾,祛风湿、通经络,风湿、痹痛、麻木、腰膝酸软无力、中风不遂、疔疮、肿毒、风疹、湿疹、皮肤、瘙痒
87,臭梧桐,苦、甘、凉,肝,祛风湿、通经络、平肝、潜阳,风湿、痹痛、肢体、麻木、不遂、头痛、眩晕
88,木瓜,酸、温,肝、脾、胃,化湿、和胃,风湿、痹痛、筋脉、拘挛、脚气、水肿、吐泻
89,络石藤,苦、微寒,心、肝、肾,祛风、通络、凉血、消肿,风湿、痹痛、筋脉、拘挛、喉痹、咽痛、痈疮、跌打、损伤
90,徐长卿,辛、温,肝、胃,祛风、止痛、利水、消肿、活血、解毒,风湿、痹痛、跌打、损伤、牙痛、胃痛、水肿、毒、癌肿、疼痛、风疹、湿疹、顽癣
91,桑枝,苦、平,肝、肺,祛风湿、通经络、消肿,风湿、痹痛、拘挛、不利、中风、水肿、脚气
92,桑寄生,苦、甘、平,肝、肾,补肝肾、强筋骨、祛风、通络、养血、安胎,腰膝、酸痛、筋骨、风湿、痹痛、肢体、下血、胎动不安
93,五加皮,辛、苦、温,肝、肾,祛风湿、强筋骨、利水、消肿,风湿、痹痛、拘挛、腰膝、小儿、水肿、脚气、跌打、肿痛
94,白花蛇,甘、咸、温,有毒,搜风、通络、定惊、止痉,风湿、痹痛、筋脉、拘挛、麻木中风、不遂、小儿惊风抽搐、破伤风、麻风、疥癣
95,海桐皮,苦、辛、平,肝、肾,祛风湿、通经络、杀虫、止痒,风湿、痹痛、腰膝、酸痛、跌打、损伤、疥癣、湿疹
96,蚕沙,甘、辛、温,肝、脾、胃,祛风、除湿、和胃,风湿、痹痛、肢体、不遂、吐泻、风疹、湿疹、皮肤、瘙痒
97,寻骨风,辛、苦、平,肝,祛风、通络、活血、止痛,风湿、痹痛、肢体、麻木、筋脉、拘挛、胃痛、牙痛、跌打、损伤
98,海风藤,辛、苦、微温,肝,祛风、除湿、通络、止痛,风湿、痹痛、腰膝、酸痛、筋脉、拘挛、不利
99,千年健,辛、苦、温,肝、肾,祛风湿、强筋骨、消肿、止痛,风湿、痹痛、腰膝酸软无力、胃痛、跌打、损伤、疮疡
100,松节,苦、辛、温,肝、肾,祛风、散寒、燥湿、活血通络止痛,风寒、湿痹、疼痛、跌打、伤痛
101,八角枫,辛、温,有大毒,祛风、除湿、散瘀、通络,风湿、痹痛、麻木、腰痛、跌打、损伤
102,马钱子,苦、寒,有毒,通络、止痛、散结、消肿,风湿、麻木、咽喉、痹痛、痈疽、肿毒、跌仆、伤痛
103,接骨木,甘、苦、平,肝、肾,祛风、除湿、活血、止痛,风湿、痹痛、跌打、出血
104,老鹳草,苦、辛、平,肝、大肠,祛风湿、通经络、清热利湿解毒,风湿、痹痛、筋骨、酸痛、麻木、跌打、损伤、湿热、泻痢、瘙痒、痈肿
105,伸筋草,苦、辛、温,肝、肾、脾,祛风、散寒、除湿、消肿、活血,风寒、湿痹、筋脉、拘挛、麻木、跌打、损伤、水肿、胀满
106,透骨草,辛、温,肝,祛风、除湿、活血,疼痛、筋骨、拘挛
107,雷公藤,苦、寒,有大毒,祛风、除湿、活血、通络、解毒,类风湿性炎、风湿性炎、肾病综合征、麻风
108,金钱白花蛇,甘、咸、温,有毒,搜风、通络、定惊、止痒,风湿、中风、不遂、小儿、惊风、破伤风、偏头痛、麻风、疥癣
109,乌梢蛇,甘、平,肝、脾,搜风、通络、止痉,风湿、麻风、破伤风、风疹、疥癣、小和麻痹后遗症
110,香加皮,辛、苦、微温,有毒,祛风湿、强筋骨、利水、消肿,风湿、痹痛、腰膝酸软无力、小儿、心悸、水肿、小便、不利
111,石南叶,辛、苦、平,有小毒,祛风湿、通经络,风湿、痹痛、酸痛、无力、偏头痛、无力、偏头痛、风疹、瘙痒
112,苍术,辛、苦、温,脾、胃,燥湿、健脾、祛风、散寒、明目,脘腹、胀满、吐泻、水肿、痰饮、风湿、痹痛、脚气、淋浊、带下、风寒、感冒
113,厚朴,苦、辛、温,脾、胃、肺、大肠,燥湿、消痰、下气,吐泻、食积、气滞、腹胀、便秘、痰饮、喘咳
114,藿香,辛、温,脾、胃、肺,化湿、辟秽、和中,脾胃、脘腹、胀满、初起、呕吐、泄泻、暑湿、发热、发热、满闷
115,佩兰,辛、平,脾、胃、肺,化湿、辟秽、解表,脘腹、痞满、呕吐、外感、暑湿、初起、寒热、胸闷、纳呆
116,砂仁,辛、温,脾、胃,化湿、行气、温中、止泻、安胎,气滞、脘腹、胀痛、脾胃、虚寒、呕吐、泄泻、妊娠、胎动不安
117,砂仁壳,微辛、温,脾、胃,化湿、行气、和胃,证、脘腹、胀满、呕吐、纳呆
118,白豆蔻,辛、温,脾、胃、肺,化湿、理气、和中、止呕,气滞、胸闷、脘腹、胀满、反胃、呕吐、噫气、呃逆
119,白蔻壳,微辛、温,脾、胃,化湿、理气、和胃,气滞轻证、脘腹、呕吐
120,草豆蔻,辛、温,脾、胃,燥湿、温中,寒湿、脘腹、冷痛、呕吐、泄泻、痞满、噎膈、反胃、痰饮、积聚
121,草果,辛、温,脾、胃,燥湿、温中、消积、祛痰、截疟,寒湿、阻滞、脘腹、冷痛、痞满、呕吐、食积、泻痢、疟疾、寒热
122,茯苓,甘、淡、平,心、脾、肺、肾,利水、健脾,水肿、痰饮、脾虚、食少、便溏、泄泻、不安、惊悸、失眠
123,猪苓,甘、淡、平,心、脾、肾,利水,小便、不利、水肿、胀满、泄泻、淋浊、带下
124,泽泻,甘、淡、寒,肾、膀胱,利水,小便、不利、水肿、胀满、泄泻、痰饮、眩晕、热淋、涩痛
125,薏苡仁,甘、淡、微寒,脾、胃、肺,利水、健脾、止泻、清热、排脓,小便、不利、水肿、脚气、湿痹、拘挛、初起以及脾虚泄泻、肺痈、肠痈
126,车前子,甘、寒,肾、膀胱、肝、肺,利水、清热、明目、化痰,小便、不利、淋浊、带下、泄泻、水肿、目赤、肿痛、咳嗽
127,车前草,甘、寒,肾、膀胱、肝,利水、清肝、明目、清热、解毒,小便淋涩疼痛、尿血、水肿、湿热、泻痢、目赤、肿痛、热毒、痈肿
128,滑石,甘、淡、寒,膀胱、胃,利尿、通淋、清热、敛疮,热淋、石淋、涩痛、暑湿、烦渴、湿热水泻；湿疹
129,川木通,淡、微苦、微寒,心、肺、膀胱,清热、利水、通经、下乳,水肿、热淋、经闭、产后
130,关木通,苦、寒,心、小肠、膀胱,利水、通淋、清心,小便、热淋、涩痛、口舌生疮、心烦、不安、产后
131,通草,甘、淡、微寒,肺、胃,清肺、利水,小便、不利、淋证、水肿、产妇
132,金钱草,甘、淡、平,肝、胆、肾、膀胱,利水通淋；清热解毒；散瘀消肿,肝胆及泌尿系结石；热淋；水肿；湿热黄疸；疮毒痈肿；毒；
133,海金沙,甘、淡、寒,膀胱、胆,利水、通淋,热淋、血淋、石淋、湿热、黄疸、胆石症
134,石韦,苦、甘、微寒,膀胱、肺,利水、通淋、清肺、止血,淋证、小便、不利、水肿、肺热、喘咳、尿血、崩漏、吐血、衄血
135,萆薢,苦、平,肾、膀胱、肝、胃,祛风湿,白浊、带下、风湿、痹痛、腰膝、疼痛、湿热、疮毒
136,茵陈蒿,苦、微寒,脾、胃、肝、胆,清热、利湿,
